_id;tipo_di_partita;squadra_in_casa;squadra_in_trasferta;datetime_kick_off;gol_segnati_casa;gol_segnati_trasferta;rigori_finali_segnati_casa;rigori_finali_segnati_trasferta;nome_partita;kick_off_day;datetime_kick_off_string;kick_off_day_string;percentuale_possesso_palla_casa;percentuale_possesso_palla_trasferta;gol_totale_casa;gol_totale_trasferta;tiri_totale_casa;tiri_totale_trasferta;tiri_in_porta_casa;tiri_in_porta_trasferta;ammonizioni_casa;ammonizioni_trasferta;espulsioni_casa;espulsioni_trasferta;falli_subiti_casa;falli_subiti_trasferta;fuorigioco_casa;fuorigioco_trasferta;passaggi_casa;passaggi_trasferta;passaggi_completati_casa;passaggi_completati_trasferta;cross_casa;cross_trasferta;cross_completati_casa;cross_completati_trasferta;corner_casa;corner_trasferta;calci_piazzati_casa;calci_piazzati_trasferta;rigori_segnati_casa;rigori_segnati_trasferta;gol_trasferta_1;gol_trasferta_2;gol_casa_1;gol_casa_2;gol_casa_3;gol_casa_4;gol_casa_5;gol_casa_6;gol_casa_7;cartellino_rosso_casa_1;gol_trasferta_3;gol_trasferta_4;Negativo;Neutro;Positivo;total_tweets;Rank casa;Rank ospite;Punti Rank casa;Punti Rank ospite
63b835ed72176b118ed982f4;Group G;SWITZERLAND;CAMEROON;2022-11-24 11:00:00;1;0;0;0;SWITZERLAND-CAMEROON;2022-11-24;2022-11-24 11:00:00;2022-11-24;43;46;1;0;8;7;3;3;2;1;0;0;12;10;2;2;497;500;437;424;28;20;6;4;11;5;11;14;0;0;;;Breel EMBOLO;;;;;;;;;;74;321;388;783;15;43;1621.43;1484.95
63b835ed72176b118ed982f5;Group H;URUGUAY;KOREA REPUBLIC;2022-11-24 14:00:00;0;0;0;0;URUGUAY-KOREA;2022-11-24;2022-11-24 14:00:00;2022-11-24;49;38;0;0;10;6;0;0;1;1;0;0;7;10;1;0;528;419;459;340;16;19;4;3;4;3;10;8;0;0;;;;;;;;;;;;;70;121;80;271;14;28;1640.95;1526.02
63b835ed72176b118ed982f6;Group H;PORTUGAL;GHANA;2022-11-24 17:00:00;3;2;0;0;PORTUGAL-GHANA;2022-11-24;2022-11-24 17:00:00;2022-11-24;55;35;3;2;11;8;5;3;2;4;0;0;14;19;1;1;636;394;573;326;17;12;4;3;3;3;19;15;1;0;Andre AYEW;Osman BUKARI;CRISTIANO RONALDO;JOAO FELIX;RAFAEL LEAO;;;;;;;;277;322;401;1000;9;61;1678.65;1393.47
63b835ee72176b118ed982f7;Group G;BRAZIL;SERBIA;2022-11-24 20:00:00;2;0;0;0;BRAZIL-SERBIA;2022-11-24;2022-11-24 20:00:00;2022-11-24;53;34;2;0;24;4;10;0;0;3;0;0;7;12;1;0;585;403;526;341;19;13;3;3;6;4;12;8;0;0;;;RICHARLISON;RICHARLISON;;;;;;;;;192;403;405;1000;1;21;1837.56;1549.53
63b835ee72176b118ed982f8;Group B;WALES;IRAN;2022-11-25 11:00:00;0;2;0;0;WALES-IRAN;2022-11-25;2022-11-25 11:00:00;2022-11-25;51;33;0;2;10;21;3;6;1;2;1;0;9;10;2;2;508;295;413;202;20;26;5;4;2;7;12;11;0;0;Roozbeh CHESHMI;Ramin REZAEIAN;;;;;;;;Wayne HENNESSEY;;;253;345;402;1000;19;20;1582.13;1558.64
63b835ee72176b118ed982f9;Group A;QATAR;SENEGAL;2022-11-25 14:00:00;1;3;0;0;QATAR-SENEGAL;2022-11-25;2022-11-25 14:00:00;2022-11-25;42;48;1;3;10;12;2;4;3;3;0;0;7;12;4;3;424;511;353;445;18;20;5;6;6;7;15;11;0;0;Boulaye DIA;Famara DIEDHIOU;MOHAMMED MUNTARI;;;;;;;;Cheikh DIENG;;129;338;418;885;50;18;1441.97;1584.59
63b835ef72176b118ed982fa;Group A;NETHERLANDS;ECUADOR;2022-11-25 17:00:00;1;1;0;0;NETHERLANDS-ECUADOR;2022-11-25;2022-11-25 17:00:00;2022-11-25;48;39;1;1;2;13;1;5;0;1;0;0;15;12;1;4;524;425;451;345;8;22;0;4;2;5;16;16;0;0;Enner VALENCIA;;Cody GAKPO;;;;;;;;;;138;359;399;896;8;44;1679.41;1463.74
63b835ef72176b118ed982fb;Group B;ENGLAND;UNITED STATES;2022-11-25 20:00:00;0;0;0;0;ENGLAND-UNITED STATES;2022-11-25;2022-11-25 20:00:00;2022-11-25;51;40;0;0;8;10;3;2;0;0;0;0;9;15;1;0;550;427;488;368;13;16;4;2;3;7;15;10;0;0;;;;;;;;;;;;;7;17;290;314;5;16;1737.46;1635.01
63b835ef72176b118ed982fc;Group D;TUNISIA;AUSTRALIA;2022-11-26 11:00:00;0;1;0;0;TUNISIA-AUSTRALIA;2022-11-26;2022-11-26 11:00:00;2022-11-26;50;31;0;1;13;8;4;2;3;0;0;0;16;15;3;0;501;334;396;239;23;23;5;4;5;2;15;19;0;0;Mitch DUKE;;;;;;;;;;;;94;234;326;654;30;38;1507.86;1483.73
63b835f072176b118ed982fd;Group C;POLAND;SAUDI ARABIA;2022-11-26 14:00:00;2;0;0;0;POLAND-SAUDI ARABIA;2022-11-26;2022-11-26 14:00:00;2022-11-26;30;57;2;0;8;16;3;5;3;2;0;0;18;15;0;0;303;560;236;494;19;24;8;4;4;5;15;17;0;0;;;Piotr ZIELINSKI;Robert LEWANDOWSKI;;;;;;;;;160;410;430;1000;26;51;1546.18;1435.74
